id,text,author,link,category,date_of_publication,number_of_tokens,number_of_words_without_punctuation,number_of_types,number_of_links_inside_the_news,number_of_words_in_upper_case,number_of_verbs,number_of_subjunctive_and_imperative_verbs,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_modal_verbs,number_of_singular_first_and_second_personal_pronouns,number_of_plural_first_personal_pronouns,number_of_pronouns,pausality,number_of_characters,average_sentence_length,average_word_length,percentage_of_news_with_spelling_errors,emotiveness,diversity
1829,PEC do Teto ao vivo: Começa o quebra-pau no senado.  Começou no senado a votação da PEC do Teto em segundo turno.  Renan está com pressa e quer votar a toque de caixa. Assista ao vivo:,None,https://www.diariodobrasil.org/pec-do-teto-ao-vivo-comeca-o-quebra-pau-no-senado/,politica,13/12/2016,41,37,29,0,2,6,1,13,2,1,0,0,0,0,1.0,141,9.25,3.81081,0.0,0.157895,0.783784
1626,"Jorge Fernando, diretor da Globo, sofreu AVC e precisou ser internado às pressas no Rio. .  O susto aconteceu no último fim de semana e Jorginho foi diagnosticado com Acidente Vascular Cerebral. A pedido do próprio Jorge, o hospital não divulgou nenhum boletim médico sobre seu estado de saúde. O colunista Leo Dias informou que o diretor já recebeu alta na última sexta-feira (27) e passa bem. A Rede Globo não se manifestou sobre o assunto e não informou quando Jorge Fernando retornará.",None,https://www.diariodobrasil.org/jorge-fernando-diretor-da-globo-sofreu-avc-e-precisou-ser-internado-as-pressas-no-rio/,tv_celebridades,31/01/2017,93,83,65,1,1,14,0,21,4,8,2,0,0,4,1.42857,394,11.8571,4.74699,0.0,0.342857,0.783133
3143,"ONU impõe sanções à Coréia e Kim Jong-un declara: ""Armem as ogivas. Usaremos a qualquer momento"".  Kim Jong-un,  o ditador norte-coreano ordenou que as ogivas nucleares do país estejam prontas para serem usadas ""a qualquer momento"".  A informação é da agência de notícias oficial do regime norte-coreano,  a KCNA . ""Diante da circunstância extrema em que o imperialismo americano faz mau uso de sua influência militar e pressiona outros países a começar uma guerra,  a única maneira de defendermos nossa soberania e nosso direito de viver é fortalecer nossa capacidade nuclear"" ,  disse Kim à agência oficial. A declaração foi feita enquanto o ditador monitorava o lançamento de seis mísseis hoje (03) e horas após o Conselho de Segurança da ONU aprovar sanções comerciais ao país comunista em resposta aos últimos testes nucleares com mísseis de longo alcance.",None,https://www.diariodobrasil.org/onu-impoe-sancoes-a-coreia-e-kim-jong-un-declara-armem-as-ogivas-usaremos-a-qualquer-momento/,sociedade_cotidiano,04/03/2016,155,140,96,0,3,21,2,40,15,2,2,0,0,8,2.14286,695,20.0,4.96429,0.0,0.278689,0.685714
1762,"Utopia: Deputado quer ""proibir"" pornografia no Brasil.  Um deputado está chamando atenção nas redes sociais por um projeto [...] digamos [...] inusitado.  Marcelo Aguiar, deputado federal pelo DEM de SP, apresentou à Câmara um um projeto que obriga as operadoras de acesso à internet a criarem um sistema que bloqueia quaisquer conteúdos ""pornográficos"". O parlamentar que se autointitula como ""servo de Deus"" diz que as pessoas estão ""viciadas em conteúdo pornô"". O Diário do Brasil acha que existem coisas mais importantes para se discutir no momento, como o vício em roubar os cofres públicos [...] ou até mesmo o vício dos altos salários e mordomias pagas para parlamentares. A pornografia existe há mais de 2500 anos. Para se ter uma idéia, o Kama Sutra foi escrito na Índia no século 2 d.C. O projeto deste deputado é pura utopia e autopromoção! Marcelo pertence à Igreja Renascer em Cristo, do casal Estevam e Sônia Hernandes. Precisa dizer algo mais? Segundo o Congresso em Foco , em 2013, durante seu primeiro mandato na Câmara, o deputado se destacou por ser o parlamentar mais faltoso de Brasília. Dos 113 dias em que deveria ter comparecido ao plenário, Aguiar registrou presença em apenas 45. Ele faltou a mais de 60% das sessões. Abonou 61 das 68 faltas que acumulou. Nenhuma delas por problema de saúde. As ausências foram justificadas como ""obrigações político-partidárias"". Deputado, tem um ditado que diz o seguinte: "" Quando você aponta um dedo para alguém, tem outros 3 dedos virados para você. """,None,https://www.diariodobrasil.org/deputado-que-quer-proibir-pornografia-no-brasil-faltou-em-68-de-113-sessoes-na-camara/,politica,04/01/2017,296,248,174,1,3,42,1,75,10,8,5,0,0,20,1.84615,1203,9.53846,4.85081,0.00403226,0.153846,0.701613
1561,"STF nega pedido de habeas corpus feito em nome de Lula. Documento comparou o petista a Getúlio Vargas.  A petição foi classificada como ""confusa"" pela presidente da Suprema Corte.  Cármen Lúcia informou que não é incumbência do Supremo julgar um habeas corpus contra futuras decisões de juízes federais. O pedido foi negado e os argumentos do autor nem mesmo foram analisados. A ministra determinou que o documento seja enviado para o Tribunal Regional Federal da 4a Região (TRF4), em Porto Alegre. É para TRF4 que devem ser endereçados os recursos contra as decisões de Moro. O cidadão que tentou defender Lula é apenas um estagiário do curso de direito, de acordo com o cadastro OAB. ""Uma eventual prisão de Lula causará enorme clamor social"" , que pode ser comparado ao suicídio do ex-presidente Getúlio Vargas, em 1954. Na argumentação do estagiário, Lula está sofrendo coação de liberdade por abusos cometidos pelo juiz Sérgio Moro: ""Sem sombra de dúvida, estamos diante de um CAOS judicial, onde o Poder Judiciário tenta incriminar o paciente sem qualquer indicio de crime de qualquer espécie"" disse. O futuro advogado não faz parte da equipe de defesa do petista.",None,https://www.diariodobrasil.org/stf-nega-pedido-de-habeas-corpus-feito-em-nome-de-lula-documento-comparou-o-petista-a-getulio-vargas/,politica,14/02/2017,219,193,136,0,6,33,1,62,10,8,8,0,0,5,2.16667,948,16.0833,4.91192,0.0,0.189474,0.704663
2361,"CUT ameaça greve geral durante as Olimpíadas! Será que a petista Letícia Mortadela vai comparecer?.  A turma da mortadela ameaça (mais uma vez) parar o país! Será que eles não aprendem?.  Será que vai ter celebridades na paralisação? Quem sabe Chico Buarque,  Lindbergh Farias,  Gleisi Hoffman e até mesmo a atriz global Letícia Mortadela,  digo Sabatella Leia abaixo o que diz o secretário nacional de Cultura da CUT,  José Celestino Lourenço: ""Diante da terra arrasada provocada por esse governo golpista,  não nos resta outra coisa que não seja organizar a classe trabalhadora para uma greve geral neste País. Se não caminharmos nesse sentido,  a retirada de direitos será tamanha que voltaremos ao tempo da colonização. Isso será feito em paralelo com a permanente denúncia do golpe durante as Olimpíadas"",  disse o secretário. A verdade é que ninguém vai parar o país! Isso não passa de uma utopia. O Brasil está em crise e os trabalhadores precisam levar o pão e o leite de cada dia para suas famílias. Esse tipo de ato organizado pelo PT não cola mais! abaixo a íntegra: CUT aprofundará construção da greve geral durante as Olimpíadas",None,https://www.diariodobrasil.org/cut-ameaca-greve-geral-durante-as-olimpiadas-sera-que-a-petista-leticia-mortadela-vai-comparecer/,politica,05/08/2016,217,190,127,1,4,33,2,53,8,11,4,0,1,15,3.375,916,23.75,4.82105,0.0,0.22093,0.668421
68,"Geraldo Alckmin comprou 6 mil metralhadoras estragadas. Governo Alckmin gastou R$ 30 milhões em armas da Taurus que colocam a vida dos policiais militares em risco. Enquanto a Polícia está desarmada 6 mil metralhadoras descansam em caixas mofadas.

Cerca de 6.000 submetralhadoras Taurus compradas pela Polícia Militar de São Paulo por cerca de R$ 30 milhões (valores corrigidos) continuam dentro das caixas, sem uso, há mais de cinco anos.


O armamento, que deveria aparelhar a tropa no combate ao crime pelo Estado, teve seu emprego vetado por apresentar problemas considerados insolúveis, como fissuras e rompimento de canos.

Esse tipo de falha pode, segundo especialistas, levar à explosão da arma e provocar ferimentos no atirador.

As armas estão estocadas em um galpão da PM na capital paulista para devolução ao fabricante. A Taurus, por sua vez, tenta um acordo com a gestão Geraldo Alckmin (PSDB) para não ter que ressarcir a polícia em dinheiro mas com novas armas.

Procurada, a empresa não comentou as falhas das armas vendidas por ela. Informou, apenas, que valoriza a relação com a Polícia Militar do Estado de São Paulo.",Josias Oliveira,https://afolhabrasil.com.br/politica/geraldo-alckmin-comprou-6-mil-metralhadoras-estragadas/,politica,2017-06-20,217,185,129,0,4,27,2,58,7,8,2,0,0,8,2.66667,920,15.4167,4.97297,0.0,0.176471,0.697297
103,"Delação da Friboi coloca em risco o casamento de Temer. Além de estar correndo sério risco de sofrer impeachment e ser preso, a delação da Friboi coloca em risco até mesmo o casamento do presidente Temer. Isso é o que afirma Joesley Batista.

Perícias iniciais dão conta que a gravação da conversa entre o presidente Temer e o dono da Friboi foi editada em pelo menos 50 trechos antes de ser entregue a Polícia Federal. Michel Temer tentou usar este fato como instrumento de sua defesa, no enanto, Joesley Batista volta a surpreender o Brasil e diz que os trechos editados poderiam colocar em risco seu casamento e também do presidente Michel Temer. Em pelo menos um dos trechos editados, a conversa entre Joesley Batista e Michel Temer girou sobre mulheres. O dono da JBS retirou essa parte para se proteger  e, não evidentemente, proteger a relação do presidente com Marcela Temer. Dos 50 minutos de gravação, 38 são conhecidos.",None,https://afolhabrasil.com.br/politica/delacao-da-friboi-coloca-em-risco-o-casamento-de-temer/,politica,2017-05-22,176,160,94,0,1,29,0,48,2,7,7,0,0,9,1.77778,754,17.7778,4.7125,0.0,0.116883,0.5875
840,"Físico americano diz que Kim Jong-un tem a arma mais poderosa do mundo: ""Não podemos subestimá-lo"".  A Coreia do Norte fez um teste bem-sucedido com uma miniatura de bomba de hidrogênio, mais conhecida como bomba H.  ""O resultado dos testes foi confirmado ontem (03) pelo Japão [...] significando que Kim Jon-un tem a arma mais poderosa do planeta. Não podemos subestimá-lo "" disse o cientista e físico nuclear Matthias Grosse Perdekamp, que dá aulas sobre o controle de armamentos nucleares da Universidade de Illinois, nos EUA. O governo de Kin Jong-un anunciou o sucesso do teste na TV estatal norte-coreana. O Serviço Geológico da Coreia do Sul disse ter detectado uma atividade sísmica fora do comum no nordeste da Coreia do Norte. O tremor, de magnitude 6,3 foi detectado a cerca de 50 km da cidade de Kilju, na área de testes nucleares de Punggye-ri. "" Este é o segundo teste feito com a bomba de hidrogênio no mundo. É um artefato mais poderoso que a bomba atômica. "" disse Perdekamp. Nenhuma explosão até hoje superou a potência da ""Bomba-Czar"", uma bomba de hidrogênio de 50 megatons (o equivalente a 50 milhões de toneladas de dinamite) detonada durante um teste do governo soviético em outubro de 1961. (Diário do Brasil com informações da BBC )",None,https://www.diariodobrasil.org/fisico-americano-diz-que-kim-jong-un-tem-a-arma-mais-poderosa-do-mundo-nao-podemos-subestima-lo/,sociedade_cotidiano,03/09/2017,242,220,131,1,5,25,0,66,13,9,4,0,0,5,1.46667,994,14.6667,4.51818,0.0,0.241758,0.595455
1488,"Boa Esporte emite nota: ""Não cometemos nenhum crime. Estamos ajudando um ser humano"".  A equipe de futebol do Boa Esporte, de Varginha, divulgou uma nota hoje (12).  O presidente do Clube, diante da enrascada em que se meteu, argumenta sobre a contratação do goleiro Bruno, solto por decisão monocrática do ministro Marco Aurélio. Rone Moraes da Costa diz: ""A regra legal brasileira é a que todos, inclusive os criminosos mais perigosos, sejam submetidos a um julgamento honesto, imparcial e que a lei seja o fundamento da punição. O Boa Esporte Clube não está cometendo nenhum crime conforme a legislação brasileira e perante a lei de Deus."" O presidente explica que o clube está ""fazendo justiça ao ajudar um ser humano e dando trabalho a quem pretende se recuperar"". CLUBE ESTÁ PERDENDO OS PATROCINADORES A diretoria da Nutrends Nutrition (suplementos alimentares) divulgou uma nota ontem (11) informando que a empresa não é mais patrocinadora/apoiadora do Boa Esporte Clube. O grupo Góis & Silva (um dos maiores patrocinadores do Boa Esporte) irá se reunir amanhã (12) com a diretoria do clube para avaliar como ficará a situação do patrocínio.",None,https://www.diariodobrasil.org/boa-esporte-emite-nota-nao-cometemos-nenhum-crime-estamos-ajudando-um-ser-humano/,sociedade_cotidiano,12/03/2017,222,187,121,0,3,28,2,52,10,10,5,0,0,12,3.5,923,18.7,4.93583,0.0,0.25,0.647059
3017,"As 6 mentiras cabeludas que Dilma contou para a imprensa internacional no dia de hoje.  Dilma Rousseff convocou hoje(24) uma reunião com jornalistas estrangeiros achando que tal atitude poderá salvá-la do impeachment.  Dona Dilma: Quem é que sustenta esse país com impostos? Os estrangeiros? Quando a senhora está em campanha eleitoral,  para quem a senhora pede votos? Para os estrangeiros? MENTIRA 1  Dilma disse que retirá-la do cargo pode gerar ""cicatrizes duradouras"" para a democracia brasileira. VERDADE1  O QUE CAUSA CICATRIZES DURADOURAS NO PAÍS É O ROUBO INDISCRIMINADO QUE O PT PROMOVEU NA PETROBRAS MENTIRA 2  Dilma acusou a oposição de não aceitar a derrota apertada nas eleições de 2014 e,  desde então,  trabalhar pelo ""quanto pior,  melhor"" VERDADE2   NÃO É A OPOSIÇÃO QUE SE CANSOU DE DILMA. É O POVO QUE NÃO AGUENTA MAIS MENTIRA 3  Dilma negou que tenha recebido financiamento ilegal em sua campanha. VERDADE3  DILMA RECEBEU DOAÇÕES ILEGAIS PARA SUA CAMPANHA. PROVA DISSO SÃO AS DELAÇÕES DA EMPREITEIRA ANDRADE GUTIERREZ E A AÇÃO QUE CORRE NO TSE MENTIRA 4  Dilma disse que ""dorme bem à noite"" e que o esforço da oposição para a remover do Planalto ""carece de bases legais"". VERDADE4  DILMA ESTÁ EM PÂNICO E DESESPERADA. O IMPEACHMENT É LEGAL E ESTÁ PREVISTO NA CONSTITUIÇÃO MENTIRA 5  Dilma reafirmou que se ""manterá firme"" no cargo e que a paz reinará no Brasil VERDADE5  DILMA NÃO FICARÁ NO CARGO E NÃO HAVERÁ PAZ ENQUANTO NÃO HOUVER IMPEACHMENT E LULA ESTIVER NA CADEIA MENTIRA 6  Dilma defendeu a escolha do ex-presidente. ""Lula é meu parceiro"",  VERDADE6  DILMA NÃO ESCOLHEU NADA. ELA FOI OBRIGADA A COLOCAR LULA NA CASA CIVIL PARA EVITAR A PRISÃO DO PETISTA",None,https://www.diariodobrasil.org/as-6-mentiras-cabeludas-que-dilma-contou-para-a-imprensa-internacional-no-dia-de-hoje/,tv_celebridades,24/03/2016,326,283,192,0,71,33,1,82,8,10,3,0,0,17,3.90909,1347,25.7273,4.75972,0.0,0.156522,0.678445
2954,"O recado para Lula e Stédile (MST): "" Ousem partir para o confronto e vocês verão o troco do exército"".  As ameaças partiram de Lula e do chefe do MST [Stédile]. Ambos disseram em seus discursos que a esquerda partirá para o confronto.  O vídeo mostra vários trechos de discursos dos líderes comunistas e agitadores do PT. O deputado Jair Bolsonaro mandou um recado ""carinhoso"" para Stédile: "" O vagabundo do Stédile não tem exército não! Exército aqui só tem um [...] é o de Caxias/RS [...] ousem roubar nossa liberdade que vocês verão o troco que o exército dará para vocês """,None,https://www.diariodobrasil.org/o-recado-para-lula-e-stedile-mst-ousem-partir-para-o-confronto-e-voces-verao-o-troco-do-exercito/,politica,13/04/2016,121,99,59,0,4,15,2,34,2,4,0,0,0,12,2.0,445,9.0,4.49495,0.0,0.122449,0.59596
1460,"Tony Ramos sobre operação da PF: ""Não sei se faria outra campanha. Talvez, se eles forem inocentados"". .  Em matéria publicada no site EGO (do grupo Globo) Ramos declarou que está perplexo com a notícia: ""Eu apenas fui contratado para fazer publicidade, não tenho nenhum contato"" , disse. O ator contou que já teve oportunidades de visitar uma das fábricas da empresa e afirmou que consome os produtos que levam a sua ""marca"": ""Vamos esperar a apuração da verdade. Se eles forem inocentados, eu não sei se faria outra campanha, talvez sim [...] eles possuem os direitos da minha. Vou checar essas informações"" encerrou.",None,https://www.diariodobrasil.org/tony-ramos-sobre-operacao-da-pf-nao-sei-se-faria-outra-campanha-talvez-se-eles-forem-inocentados/,politica,17/03/2017,129,101,80,0,2,27,2,25,1,8,4,2,0,15,2.54545,485,9.18182,4.80198,0.00990099,0.173077,0.792079
252,"Ciro Gomes ameaça Sergio Moro: ""Moro que mande me
prender, recebo toda a turma dele na bala"". Ciro Gomes (PDT) ex-ministro e agora Pré-Candidato a Presidência, rebateu e
ameaçou o Juiz Sergio Moro ao qual repercutiu o País inteiro.
Gomes, gravou um video ao qual desafia o juiz Sérgio Moro, da 13a Vara Federal de
Curitiba, a prendê-lo. Ele afirma que, se isso acontecer, ele receberá ""toda a turma""
de Moro ""na bala"".
Ainda falou sobre Dallagnol: ""Você pegar um garoto como esse Dallagnol... chamar a
imprensa, em tempo real, eu assisti àquilo, o Power Point com aquele negócio todo. O
que é isso? E se no futuro, o cidadão por ele acusado dessa forma midiática,
exibicionista, espetaculosa, for absolvido? Sabe o que vai acontecer? O estado
brasileiro vai ter que indenizar esse cidadão com uma fortuna, e não acontece nada
com ele (Dallagnol)"", diz.",None,http://www.thejornalbrasil.com.br/2017/08/ciro-gomes-ameaca-sergio-moro-moro-que.html,politica,2017-08-03,185,148,104,0,1,30,3,33,6,3,4,2,0,23,3.7,663,14.8,4.47973,0.00675676,0.142857,0.702703
1613,"Pastor da igreja de Eike se irrita e dispara: ""Se tivesse seguido Cristo, não estaria em Bangu"".  Ultimamente, o milionário Eike Batista participava de cultos em uma igreja da Assembleia de Deus.  Fiéis da igreja localizada em Rocha Miranda, bairro situado na zona norte do RJ, questionavam se Eike havia realmente ""aceitado Jesus"". No dia da prisão do empresário (30/01) , o pastor que batizara Eike bradou: ""Se seguisse Cristo, como o Senhor orientou, ele estaria livre"", disse o pastor Danielzinho, que costuma pregar no presídio Bangu 9, onde Eike está preso. Seus seguidores foram à loucura! Quando questionado por um fiel sobre o poder de sua igreja sobre a vida do milionário, ele respondeu: ""Imbecil, panaca, profetinha de araque"" Em 2016, quando Eike foi convertido,o pastor postou várias fotos em sua rede social e escreveu: ""Eiki aceitou Jesus [...] o diabo perdeu"". O vídeo abaixo mostra o empresário participando de um culto: (fonte: Jornal O Dia )",None,https://www.diariodobrasil.org/pastor-da-igreja-de-eike-se-irrita-se-tivesse-seguido-deus-nao-estaria-em-bangu-idiotapanaca/,sociedade_cotidiano,31/01/2017,200,157,112,1,1,30,2,53,5,10,3,0,0,9,4.77778,755,17.4444,4.80892,0.0,0.180723,0.713376
2633,"Portaria emitida pelo Ministro da Justiça paralisa Direitos Humanos por 90 dias.  Tem muito petista revoltado. Pobres ladrões,  assassinos,  estupradores e demais bandidos. Ficarão sem seus defensores.  Alexandre de Moraes [atual Ministro da Justiça] emitiu uma portaria determinando a paralisação do funcionamento de todas as áreas relacionadas aos Direitos Humanos,  por 90 dias A portaria vale,  em especial órgãos colegiados,  excetuando apenas as áreas policiais. Abaixo a íntegra da portaria: PORTARIA No 611,  DE 10 DE JUNHO DE 2016 Suspende a realização de atos de gestão no âmbito do Ministério da Justiça e Cidadania. O MINISTRO DE ESTADO DA JUSTIÇA E CIDADANIA,  no uso das atribuições que lhe conferem o art. 87,  parágrafo único,  incisos I e IV,  da Constituição; o art. 27,  inciso VIII,  da Lei no 10.683,  de 28 de maio de 2003; Decreto no 7.689,  de 2 de março de 2012,  e a Medida Provisória no 726,  de 12 de maio de 2016,  resolve: Art. 1o Ficam suspensas,  por noventa dias,  as delegações de competência relativas à celebração de contratos,  convênios e instrumentos congêneres,  a nomeação de servidores,  a autorização de repasses de quaisquer valores não contratados,  a realização de despesas com diárias e passagens,  e a realização de eventos,  no âmbito do Ministério da Justiça e Cidadania,  ressalvados os atos relacionados: I  a operações e atividades da Força Nacional de Segurança Pública; II  às ações de preparação e mobilização para a realização dos Jogos Olímpicos de 2016; III  ao cumprimento de decisões judiciais; IV  à execução do orçamento impositivo; e V  à gestão da folha de pagamento de pessoal. Parágrafo único. A liberação de recursos financeiros para a execução de convênios e instrumentos congêneres ficará condicionada à autorização do Ministro de Estado da Justiça e Cidadania. Art. 2o O Ministro de Estado da Justiça e Cidadania poderá,  durante o período de suspensão,  autorizar a realização dos atos referidos no art. 1o. Art. 3o A suspensão de que trata esta Portaria não se aplica à Secretaria Executiva do Ministério da Justiça e Cidadania,  ao Departamento de Polícia Federal e ao Departamento de Polícia Rodoviária Federal. Art. 4o Esta Portaria entra em vigor na data de sua publicação. ALEXANDRE DE MORAES",None,https://www.diariodobrasil.org/portaria-emitida-pelo-ministro-da-justica-paralisa-direitos-humanos-por-90-dias/,politica,17/06/2016,427,365,204,0,16,24,1,123,25,7,1,0,0,11,2.81818,1811,16.5909,4.96164,0.00821918,0.217687,0.558904
1915,"Acorda Brasil! O texto que pode anistiar os crimes de caixa 2.  O jornalista Fernando Rodrigues,  do UOL,  divulgou o ""texto do golpe"".  Durante a última madrugada,  líderes partidários e Rodrigo Maia (presidente da Câmara) articularam um jeitinho de anistiar os crimes de caixa 2. Uma emenda será apresentada em plenário para obter o perdão dos crimes de caixa 2 cometidos antes da publicação da lei. O texto diz claramente que ""não será punível nas esferas penal,  civil e eleitoral"" atos criminosos como o caixa 2. Art. X. Não será punível nas esferas penal,  civil e eleitoral,  doação contabilizada,  não contabilizada ou não declarada,  omitida ou ocultada de bens,  valores ou serviços,  para financiamento de atividade político-partidária ou eleitoral realizada até a data da publicação desta lei.",None,https://www.diariodobrasil.org/acorda-brasil-o-texto-que-pode-anistiar-os-crimes-de-caixa-2/,politica,24/11/2016,151,128,81,0,2,18,0,41,12,6,2,0,0,1,2.55556,641,14.2222,5.00781,0.0,0.305085,0.632812
1873,"Pediram para não citar o nome do presidente no microfone. A que ponto chegou o Brasil!.  Aos 76 anos de idade,  ele ostenta o cargo máximo da nação brasileira [...] e tem que se esconder!.  (por Domênico Gonçalves Garcia  De Bragança/Portugal) Nasci em Portugal e me naturalizei ""BRAZUCA"" ao casar com o amor de minha vida,  com quem estou há 28 anos. Hoje presenciei minha pátria irmã sofrendo com o velório das ""crianças"" da Chapecoense. Durante meus 68 anos de vida jamais presenciei um país tão unido por uma causa única [...] foi lindo! É uma pena que essa união tenha sido causada por uma tragédia. Acompanhei (pela TV a cabo) todo o sofrimento de um povo. Por várias horas,  eu pude me sentir um verdadeiro brasileiro. Nunca tinha ouvido falar da cidade de Chapecó até acontecer uma tragédia de proporções mundiais. A dor do Brasil me doeu na alma. Orei pelos jovens que se foram tão cedo [...] me emocionei com a voz do famoso Cid Moreira citando versos da Bíblia durante a cerimônia de despedida dos heróis da Chapecoense. De todas as cenas que presenciei diante da TV,  a que mais me chamou a atenção foi assistir um Presidente da República encolhido em um canto,  como se fosse um nada,  um zé ninguém. Todo povo carece de um líder. Conversei com minha esposa e fiquei desolado ao ver o que fizeram com o Brasil. De imediato peguei meu celular e liguei para alguns contatos pessoais,  já que minha companheira é uma ex-funcionária do Itamaraty. A resposta que obtive? Leia abaixo ... ""Amigo,  quando o cerimonial da Presidência da República chegou na cidade de Chapecó,  a primeira coisa que fizeram foi procurar as autoridades locais e exigir uma única coisa: Não mencionem o nome do Presidente da República em hipótese alguma"" A tristeza tomou conta de mim e choramos [...] eu e minha esposa. O que fizeram com o Brasil?",None,https://www.diariodobrasil.org/pediram-para-nao-citar-o-nome-do-presidente-no-microfone-a-que-ponto-chegou-o-brasil/,sociedade_cotidiano,03/12/2016,371,318,195,0,4,57,4,79,14,13,6,8,0,40,1.65625,1435,9.9375,4.51258,0.0,0.198529,0.613208
1760,"URGENTE: Rebelião em presídio da Paraíba mata dois. Situação ainda não foi controlada.  O conflito teve início na manhã hoje (04) e até o momento não foi controlado.  Desta vez a confusão é na Penitenciária Padrão Romero Nóbrega, município de Patos, interior da Paraíba. Até o momento, duas pessoas morreram e outras duas estão feridas. Agentes do Bope e ambulâncias do Samu estão no local. De acordo com informações locais, parentes de alguns detentos estavam na penitenciária para a ""visita íntima"". A Secretaria de Administração Penitenciária (Seap) ainda não se pronunciou sobre o fato.",None,https://www.diariodobrasil.org/urgente-rebeliao-em-presidio-da-paraiba-mata-dois-situacao-ainda-nao-foi-controlada/,sociedade_cotidiano,04/01/2017,113,94,74,0,1,12,0,27,5,8,2,0,0,3,2.11111,476,10.4444,5.06383,0.0,0.333333,0.787234
1776,"Paulo Henrique Amorim: ""O assassino de Campinas não era louco. Tudo é culpa da Globo e da Lava-Jato"". .  Dono do site Conversa Afiada, Paulo Henrique Amorim publicou um vídeo hoje (02) acusando a Globo e a Lava Jato como corresponsáveis da chacina que tirou a vida de 12 pessoas em Campinas, SP, no último dia 31. ""A Globo e a Lava Jato são os terroristas de Campinas"" , diz o jornalista. Logo em seguida ele lê a carta deixada pelo assassino Sidnei Araújo. Sobrou até para o ministro Lewandowski. As citações foram feitas com tom irônico. ""A carta contém alguns elementos do discurso de ódio [...] é a lógica que a Globo e os heróis da Lava Jato instalaram no Brasil [...] o ódio à política, o ódio à Dilma, o ódio às mulheres, o ódio à Lei Maria da Penha, o ódio ao Lewandowski (que não julga de acordo com o ódio)"". Amorim encerra o vídeo quase que ""defendendo"" o assassino: ""Esse homem não era um louco [...] era um produto de sua época [...] a Globo e a Lava Jato odeiam o Brasil. A Globo e a Lava Jato são os nossos terroristas do fim do ano"".",None,https://www.diariodobrasil.org/a-demencia-senil-de-pha-o-assassino-de-campinas-nao-era-louco-tudo-e-culpa-da-globo-e-da-lava-jato/,tv_celebridades,02/01/2017,241,195,104,0,1,22,0,65,5,10,1,0,0,9,1.91667,793,8.125,4.06667,0.00512821,0.172414,0.533333
2460,"""Bombagira""? Esquadrão antibomba é chamado para desativar macumba.  Uma rua no Centro de Piracicaba (SP) ficou fechada por mais de cinco horas.  A PM isolou o local após uma funcionária do Banco Santander denunciar que encontrou um pacote verde na porta da agência quando chegava para trabalhar. O esquadrão antibombas da Polícia Militar (Gate) foi chamado,  retirou o objeto,  mas não informou se o material se tratava de bomba. Uma aglomeração de curiosos se formou perto do banco. A Guarda Municipal e do Corpo de Bombeiros tiveram que dar apoio à ocorrência. No final das contas,  era só um ""pacotinho"" de macumba!",None,https://www.diariodobrasil.org/bombagira-esquadrao-antibomba-e-chamado-para-desativar-macumba/,sociedade_cotidiano,18/07/2016,121,102,83,0,2,19,0,32,2,4,4,0,0,2,2.71429,493,14.5714,4.83333,0.0,0.117647,0.813725
